CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB
1 320 916 193.48
2 320 1030 239.027
3 320 1144 285.273
4 320 1258 330.777
5 320 1372 376.68
6 320 1486 422.977
7 320 1600 468.855
8 320 1714 514.348
9 320 1828 560.223
10 320 1942 608.117
11 320 2056 654.031
12 320 2170 697.934
13 320 2284 744.219
14 320 2398 789.703
15 320 2512 835.973
16 320 2626 881.496
17 320 2740 927.398
18 320 2854 973.668
19 320 2968 1019.53
20 320 3082 1065.44
21 320 3196 1111.33
22 320 3310 1157.22
23 320 3424 1202.81
24 320 3538 1248.62
