CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 216 2050 641.586000 1143020 4464.940000 188.941000 0.564633
16 456 2050 641.715000 2799630 10936.000000 128.564000 1.052580
16 696 2050 642.082000 2800640 10940.000000 248.506000 2.376630
16 936 2050 642.316000 2825020 11035.200000 331.369000 4.960170
16 1176 2050 642.582000 2816770 11003.000000 417.584000 6.789570
16 1416 2050 642.594000 1176690 4596.500000 1121.930000 13.802400
16 1656 2050 642.961000 1190570 4650.640000 1315.200000 64.368700
16 1896 2050 642.680000 2824420 11032.900000 637.920000 18.925900
16 2136 2050 643.027000 2870910 11214.500000 714.418000 44.134500
16 2376 2050 643.496000 2851010 11136.700000 809.955000 35.601300
