CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 216 2050 641.531000 2799340 10934.900000 77.135600 0.487285
16 216 2050 641.586000 2796430 10923.600000 77.217800 0.630075
16 216 2050 641.586000 2796440 10923.600000 77.213300 0.614293
16 216 2050 641.586000 2800100 10937.900000 77.113300 0.627995
16 216 2050 641.586000 2800190 10938.200000 77.114400 0.777876
16 216 2050 641.586000 2800610 10939.900000 77.096700 0.207311
16 216 2050 641.586000 2804360 10954.500000 76.998900 0.614319
16 216 2050 641.586000 2812199 10985.100000 76.791100 1.054090
16 216 2050 641.586000 2819110 11012.200000 76.602200 0.950857
16 216 2050 641.586000 2852840 11143.900000 75.826700 3.144640
16 456 2050 641.285000 2808330 10970.000000 162.396000 2.822120
16 456 2050 641.766000 2807150 10965.400000 162.450000 2.473320
16 456 2050 641.828000 2813270 10989.300000 162.074000 1.609380
16 456 2050 641.832000 2800780 10940.500000 162.785000 0.903277
16 456 2050 641.832000 2807340 10966.200000 162.431000 2.197760
16 456 2050 641.832000 2811780 10983.500000 162.182000 2.390460
16 456 2050 641.836000 2810930 10980.200000 162.235000 2.512510
16 456 2050 641.836000 2820230 11016.500000 161.765000 3.967820
16 456 2050 641.988000 2798960 10933.400000 162.894000 1.106080
16 456 2050 641.988000 2801610 10943.800000 162.752000 1.729240
16 696 2050 641.211000 2831920 11062.200000 211.968000 5.175500
16 696 2050 641.234000 2826920 11042.700000 212.252000 2.976150
16 696 2050 641.238000 2822750 11026.400000 212.550000 2.418400
16 696 2050 641.391000 2812200 10985.100000 247.543000 4.442550
16 696 2050 641.406000 2826150 11039.600000 212.310000 3.052160
16 696 2050 641.543000 2816620 11002.400000 247.117000 3.360030
16 696 2050 642.070000 2820870 11019.100000 246.993000 7.851370
16 696 2050 642.070000 2847030 11121.200000 244.996000 10.566900
16 696 2050 642.094000 2808030 10968.900000 247.856000 2.558340
16 696 2050 642.215000 2834540 11072.400000 245.742000 7.087630
16 936 2050 641.477000 2813720 10991.100000 298.621000 5.842590
16 936 2050 641.477000 2834100 11070.700000 296.675000 9.280330
16 936 2050 641.480000 2827700 11045.700000 305.652000 6.265600
