CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 216 2036 737.508000 1105440 4318.150000 195.374000 1.397330
16 456 2036 764.762000 2696800 10534.400000 142.375000 1.445570
16 696 2036 813.215000 2726140 10649.000000 255.633000 9.010990
16 936 2036 852.461000 2715790 10608.600000 344.785000 7.447530
16 1176 2036 891.258000 2718010 10617.300000 432.864000 9.434840
16 1416 2036 918.258000 1095730 4280.220000 1227.180000 26.216300
16 1656 2036 956.629000 1094780 4276.480000 1447.650000 32.680800
16 1896 2036 994.910000 1090940 4261.530000 1672.290000 24.132800
16 2136 2036 1033.500000 1092540 4267.730000 1893.390000 76.227400
16 2376 2036 1068.010000 1081130 4223.210000 2109.620000 37.417300
