CORES_ON_SERVERS CORES_ON_PERFS HUGE_MB HWM_MB IOPS MiB/s Latency,us Latency(stddev)
16 216 2036 736.793000 2714930 10605.200000 79.537800 0.781946
16 216 2036 736.930000 2701150 10551.300000 79.936700 0.365878
16 216 2036 737.324000 1123810 4389.870000 192.302000 4.885330
16 216 2036 737.371000 2698990 10542.900000 80.002200 0.494206
16 216 2036 737.445000 2699150 10543.600000 79.997800 0.526725
16 216 2036 737.453000 2694590 10525.700000 80.134400 0.412987
16 216 2036 737.453000 2704950 10566.200000 79.854400 1.558630
16 216 2036 737.477000 2700460 10548.700000 79.963300 0.761023
16 216 2036 737.594000 1106160 4320.920000 195.254000 1.754100
16 216 2036 737.633000 2689360 10505.300000 80.288900 0.342359
16 216 2036 737.938000 2690610 10510.200000 80.251100 0.432909
16 456 2036 760.066000 2693890 10523.000000 133.638000 2.041310
16 456 2036 760.160000 2702800 10557.800000 133.192000 1.898310
16 456 2036 774.309000 2689780 10506.900000 169.525000 2.080290
16 456 2036 774.328000 2711780 10592.900000 168.206000 3.664220
16 456 2036 774.379000 2695670 10529.900000 169.143000 1.436400
16 456 2036 774.945000 2690670 10510.400000 169.503000 3.093260
16 456 2036 774.973000 2679160 10465.400000 170.193000 1.896860
16 456 2036 774.980000 2704740 10565.400000 168.592000 2.221320
16 456 2036 774.992000 2710960 10589.700000 168.300000 4.464950
16 456 2036 775.156000 2713970 10601.500000 168.156000 5.029110
16 456 2036 775.258000 2696450 10533.000000 169.208000 4.475230
16 696 2036 797.805000 2697250 10536.100000 222.519000 4.631990
16 696 2036 798.195000 2705310 10567.600000 221.963000 6.569210
16 696 2036 801.641000 2703200 10559.400000 230.983000 6.172380
16 696 2036 801.910000 2690560 10510.000000 231.917000 2.544420
16 696 2036 805.723000 2717470 10615.100000 238.661000 7.139510
16 696 2036 813.824000 2700890 10550.400000 257.723000 3.925430
16 696 2036 813.938000 2702610 10557.100000 257.644000 5.971390
16 696 2036 813.988000 2700250 10547.900000 257.798000 4.324630
16 696 2036 814.238000 2697730 10538.000000 258.063000 4.947630
16 696 2036 814.316000 2723000 10636.700000 256.006000 10.061700
16 696 2036 814.449000 2711210 10590.600000 256.948000 7.889650
16 936 2036 836.422000 2713090 10598.000000 310.069000 11.394100
16 936 2036 836.461000 2707840 10577.500000 310.649000 11.304100
16 936 2036 836.465000 2701060 10551.000000 311.020000 4.449460
16 936 2036 836.566000 2696810 10534.400000 311.577000 6.307940
16 936 2036 845.102000 2708450 10579.900000 327.940000 5.838270
16 936 2036 851.887000 2699520 10545.000000 346.765000 4.750990
16 936 2036 852.082000 2700300 10548.000000 346.960000 10.483700
16 936 2036 852.199000 2720010 10625.100000 344.656000 12.909000
16 936 2036 852.590000 2698650 10541.600000 347.102000 9.629970
16 936 2036 852.734000 2708320 10579.400000 345.760000 7.902800
16 936 2036 852.836000 2707240 10575.100000 345.997000 9.587940
16 1176 2036 879.273000 2689800 10507.100000 410.539000 7.187180
16 1176 2036 879.648000 2701520 10552.800000 408.961000 11.255100
16 1176 2036 890.488000 2728510 10658.200000 431.530000 14.942000
16 1176 2036 890.695000 2694330 10524.700000 436.750000 11.025000
16 1176 2036 891.008000 1095190 4278.080000 1074.110000 18.980800
16 1176 2036 891.023000 2699850 10546.300000 436.122000 14.417700
16 1176 2036 891.047000 2699820 10546.200000 435.858000 11.096000
16 1176 2036 891.176000 2705530 10568.500000 434.970000 11.366000
16 1176 2036 891.234000 2719740 10624.000000 433.244000 18.148800
16 1176 2036 891.449000 2696100 10531.600000 436.564000 12.828700
16 1176 2036 891.629000 2752680 10752.600000 428.651000 22.693900
16 1416 2036 913.672000 2728890 10659.700000 484.635000 20.240100
16 1416 2036 913.926000 2693920 10523.100000 490.384000 13.498300
16 1416 2036 914.219000 1111290 4340.970000 1194.550000 70.398700
16 1416 2036 914.301000 1096400 4282.830000 1204.820000 30.461900
16 1416 2036 914.480000 1094340 4274.780000 1206.780000 25.154600
16 1416 2036 917.625000 2706860 10573.700000 497.132000 16.634500
16 1416 2036 925.137000 2750460 10744.000000 508.278000 29.106200
16 1416 2036 926.699000 1108510 4330.120000 1257.930000 46.067600
16 1416 2036 929.012000 2701630 10553.300000 525.004000 19.587300
16 1416 2036 929.582000 2688150 10500.600000 527.038000 12.266700
16 1416 2036 929.863000 2678430 10462.600000 528.798000 8.811900
16 1416 2036 930.363000 2720320 10626.300000 521.175000 17.866600
16 1656 2036 951.785000 2702610 10557.100000 578.110000 21.315600
16 1656 2036 951.867000 2705610 10568.800000 576.812000 12.172400
16 1656 2036 951.914000 2694440 10525.200000 579.596000 18.057500
16 1656 2036 951.961000 2713880 10601.100000 576.785000 28.901000
16 1656 2036 951.980000 2691380 10513.200000 580.033000 14.982800
16 1656 2036 952.234000 2715440 10607.200000 576.905000 31.253100
16 1656 2036 952.461000 2711760 10592.800000 576.674000 26.074200
16 1656 2036 952.535000 2690460 10509.600000 580.238000 15.317900
16 1656 2036 952.668000 1100860 4300.250000 1420.810000 63.638700
16 1656 2036 955.844000 2682790 10479.600000 590.611000 10.843300
16 1656 2036 956.348000 1091920 4265.360000 1451.000000 22.858800
16 1896 2036 990.715000 2705820 10569.600000 666.049000 22.276000
16 1896 2036 990.898000 1096120 4281.690000 1643.690000 47.163600
16 1896 2036 991.203000 2695620 10529.800000 668.918000 25.986400
16 1896 2036 994.121000 2687780 10499.100000 679.083000 17.198900
16 1896 2036 994.305000 2698900 10542.600000 676.562000 21.539100
16 1896 2036 994.344000 2701610 10553.100000 676.759000 29.171400
16 1896 2036 994.426000 2698990 10543.000000 676.578000 21.979700
16 1896 2036 994.496000 2688010 10500.000000 679.111000 18.839200
16 1896 2036 994.609000 2687370 10497.500000 679.187000 17.081000
16 1896 2036 994.656000 2709360 10583.400000 674.560000 27.978200
16 1896 2036 994.758000 2713860 10601.100000 674.799000 35.139800
16 2136 2036 1028.680000 2718510 10619.200000 753.687000 42.999200
16 2136 2036 1029.030000 2690360 10509.200000 759.736000 29.860300
16 2136 2036 1029.030000 2708000 10578.100000 755.480000 35.253900
16 2136 2036 1029.120000 2695740 10530.200000 757.261000 19.590300
16 2136 2036 1029.230000 1091750 4264.660000 1870.740000 59.655500
16 2136 2036 1029.300000 2701770 10553.800000 758.382000 40.456600
16 2136 2036 1029.480000 2695980 10531.200000 758.617000 32.749800
16 2136 2036 1029.780000 2695370 10528.800000 758.681000 32.963400
16 2136 2036 1029.850000 2695130 10527.800000 758.805000 33.530500
16 2136 2036 1030.050000 2744900 10722.200000 753.420000 61.580100
16 2136 2036 1033.110000 2724040 10640.800000 760.985000 43.344000
16 2376 2036 1067.260000 2704430 10564.200000 847.743000 46.368000
16 2376 2036 1067.610000 2685820 10491.500000 850.069000 29.129200
16 2376 2036 1067.610000 2698750 10542.000000 847.340000 39.603600
16 2376 2036 1067.610000 2716260 10610.400000 842.476000 44.091200
16 2376 2036 1068.210000 1093850 4272.880000 2091.630000 104.824000
16 2376 2036 1071.340000 2720590 10627.300000 852.049000 52.632200
16 2376 2036 1071.500000 2711590 10592.200000 852.080000 41.042600
16 2376 2036 1071.610000 2700030 10546.900000 857.551000 46.385500
16 2376 2036 1071.640000 2714130 10602.100000 851.757000 45.018000
16 2376 2036 1071.920000 2707710 10577.000000 853.815000 42.710900
16 2376 2036 1072.200000 1087370 4247.510000 2124.540000 88.993000
