CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
32 28 1746620 6822.740000 16.038600 0.567008
32 56 2083280 8137.820000 26.874300 0.417676
32 84 2128481 8314.380000 39.460000 0.576616
32 112 2121910 8288.710000 52.790000 1.008990
32 140 2129836 8319.680000 65.728600 0.733006
32 168 2133116 8332.500000 78.754300 0.854950
32 196 2129659 8318.980000 92.025700 0.752479
32 224 2135728 8342.690000 104.873000 0.601990
32 252 2118401 8275.000000 118.953000 1.132350
32 280 2107884 8233.920000 132.827000 0.998809
32 308 2092056 8172.100000 147.214000 0.973416
32 336 2084582 8142.900000 161.169000 0.675118
32 364 2080878 8128.430000 174.913000 0.922446
32 392 2073594 8099.980000 189.026000 0.388508
32 420 2073303 8098.840000 202.557000 0.391215
32 420 2074557 8103.740000 202.436000 0.801139
32 448 2066938 8073.970000 216.721000 0.202162
