CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
32 28 1772763 6924.850000 15.784300 0.189198
32 56 2032913 7941.060000 27.550000 0.630102
32 84 2051092 8012.080000 40.951400 0.634134
32 112 2075591 8107.790000 53.957100 0.636614
32 140 2039931 7968.470000 68.620000 0.436218
32 168 2027045 7918.150000 82.870000 0.265599
32 196 2060911 8050.450000 95.091400 0.201879
32 224 2066225 8071.190000 108.501000 3.468900
32 252 2063306 8059.810000 122.120000 0.067823
32 280 2084369 8142.060000 134.401000 3.395370
32 308 2070182 8086.670000 148.763000 0.036140
32 336 2076800 8112.500000 161.850000 3.646250
32 364 2070644 8088.460000 175.774000 0.049816
32 392 2082558 8134.980000 188.211000 0.137366
32 420 2083455 8138.490000 201.650000 4.194460
32 448 2081081 8129.230000 215.314000 3.842280
