CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
16 28 1847089 7215.200000 15.151400 0.252441
16 56 2036935 7956.780000 27.507100 0.863394
16 84 2035810 7952.380000 41.270000 0.941094
16 112 2030177 7930.370000 55.161400 0.472151
16 140 2041276 7973.740000 68.577100 0.616412
16 168 2050889 8011.280000 81.915700 1.098440
16 196 2060764 8049.870000 95.107100 0.972783
16 224 2062641 8057.200000 108.590000 0.735857
16 252 2042149 7977.150000 123.387000 0.483609
16 280 2036954 7956.840000 137.449000 0.728765
16 308 2026616 7916.480000 151.964000 0.586682
16 336 2016285 7876.120000 166.624000 0.312358
16 364 2013484 7865.160000 180.764000 0.424663
16 392 2009406 7849.240000 195.066000 0.523091
16 420 2006336 7837.260000 209.317000 0.584043
16 448 2001081 7816.730000 223.856000 0.277893
