CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
16 28 1816835 887.130000 15.401400 0.085428
16 56 2022447 987.530000 27.680000 0.340630
16 84 2021087 986.860000 41.574300 1.025210
16 112 2019411 986.050000 55.450000 0.193612
16 140 2018966 985.820000 69.332900 0.401309
16 168 2019347 986.010000 83.208600 1.498300
16 196 2021361 986.990000 96.954300 0.386111
16 224 2021549 987.090000 110.793000 0.154893
16 252 2022924 987.750000 124.559000 0.364003
16 280 2022835 987.710000 138.406000 0.600354
16 308 2022323 987.460000 152.283000 0.280699
16 336 2022740 987.670000 166.096000 0.148791
16 364 2022434 987.510000 179.964000 0.381533
16 392 2021846 987.230000 193.863000 0.323804
16 420 2021172 986.910000 207.779000 0.279613
16 448 2022582 987.590000 221.476000 0.095597
