CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
16 28 1911776 7467.880000 14.664300 0.672625
16 56 1939502 7576.190000 28.877100 0.688989
16 84 1934818 7557.890000 43.437100 1.216960
16 112 1920660 7502.580000 58.305700 0.479311
16 140 1947245 7606.420000 71.887100 0.457062
16 168 1933877 7554.220000 86.862900 0.384288
16 196 1950997 7621.090000 100.449000 0.193644
16 224 1927525 7529.400000 116.199000 0.116426
16 252 1946633 7604.030000 129.439000 0.207118
16 280 1935398 7560.140000 144.659000 0.326865
16 308 1942757 7588.900000 158.523000 0.150401
16 336 1940242 7579.080000 173.156000 0.009035
16 364 1934777 7557.720000 188.119000 0.517892
16 392 1944712 7596.530000 201.553000 0.087947
16 420 1952751 7627.940000 215.061000 0.089671
16 448 1952296 7626.160000 229.450000 0.036645
