CORES_ON_SERVERS CORES_ON_PERFS IOPS MiB/s Latency,us Latency(stddev)
16 28 1870161 913.170000 14.960000 0.070508
16 56 2031450 991.920000 27.555700 0.138136
16 84 2023339 987.950000 41.514300 0.692095
16 112 2043320 997.710000 54.801400 0.159681
16 140 2043234 997.660000 68.508600 0.348484
16 168 2048357 1000.190000 82.004300 0.228026
16 196 2050861 1001.410000 95.555700 0.276863
16 224 2048262 1000.120000 109.349000 0.196063
16 252 2052566 1002.240000 122.760000 0.178885
16 280 2055864 1003.840000 136.180000 0.210170
16 308 2052295 1002.100000 150.061000 0.191642
16 336 2053165 1002.520000 163.631000 0.124031
16 364 2059928 1005.810000 176.689000 0.165221
16 392 2060132 1005.930000 190.260000 0.175092
16 420 2054710 1003.280000 204.389000 0.175941
16 448 2055504 1003.670000 217.929000 0.038704
